Symbol,min_date,max_date,Close_min_date,Close_max_date,Return (%)
DBEU,2023-12-26,2024-03-25,37.84000015258789,40.755001068115234,7.70349076049881
CENT,2023-12-26,2024-03-25,39.65544128417969,42.709999084472656,7.702745704942053
FEDU,2023-12-26,2024-03-22,9.75,10.5,7.6923076923076925
GLW,2023-12-26,2024-03-25,30.187095642089844,32.507999420166016,7.688397074013764
FCA,2023-12-26,2024-03-25,17.747148513793945,19.110000610351562,7.679273633723989
PSMT,2023-12-26,2024-03-25,75.9582748413086,81.77999877929688,7.664370932793009
MYGN,2023-12-26,2024-03-25,20.3700008392334,21.93000030517578,7.658318123079133
JDST,2023-12-26,2024-03-25,5.118038177490234,5.509900093078613,7.656486763069415
UTRN,2023-12-26,2024-03-25,23.84000015258789,25.664899826049805,7.654780460493482
DUST,2023-12-26,2024-03-25,9.652087211608887,10.389900207519531,7.644077179734269
GRPN,2023-12-26,2024-03-25,12.430000305175781,13.380000114440918,7.642797956083413
EXK,2023-12-26,2024-03-25,2.0299999713897705,2.184999942779541,7.6354666785367025
PTC,2023-12-26,2024-03-25,175.30999755859375,188.66000366210938,7.615085442604983
JPUS,2023-12-26,2024-03-25,102.46553039550781,110.26460266113281,7.6114106231835
JSM,2023-12-26,2024-03-25,19.64904022216797,21.14459991455078,7.6113625677020496
RYF,2023-12-26,2024-03-22,58.16025924682617,62.58509826660156,7.608011169614681
GIS,2023-12-26,2024-03-25,64.10945129394531,68.98500061035156,7.605039846701529
IQV,2023-12-26,2024-03-25,231.02999877929688,248.58999633789062,7.6007434754691
EQWL,2023-12-26,2024-03-25,87.01853942871094,93.62999725341797,7.597757751523056
JELD,2023-12-26,2024-03-25,19.219999313354492,20.68000030517578,7.596259333926445
ACIM,2023-12-26,2024-03-22,55.25,59.439998626708984,7.58370792164522
LGI,2023-12-26,2024-03-25,14.994675636291504,16.129899978637695,7.570849612769323
ESGS,2023-12-26,2024-03-25,40.803001403808594,43.88999938964844,7.565614978391516
FELE,2023-12-26,2024-03-25,97.32845306396484,104.68000030517578,7.553338216913256
QTEC,2023-12-26,2024-03-25,176.88255310058594,190.22999572753906,7.545935081207797
FNDX,2023-12-26,2024-03-25,61.74222946166992,66.4000015258789,7.5439000256713555
NCNA,2023-12-26,2024-03-25,0.289000004529953,0.3107999861240387,7.543246108090031
WHD,2023-12-26,2024-03-25,46.308349609375,49.79999923706055,7.540000144981784
PTH,2023-12-26,2024-03-25,39.939998626708984,42.939998626708984,7.511267158616818
JLS,2023-12-26,2024-03-25,16.398962020874023,17.6299991607666,7.506799139638272
IWX,2023-12-26,2024-03-25,69.72758483886719,74.95999908447266,7.50408071310229
PHO,2023-12-26,2024-03-25,60.950286865234375,65.5199966430664,7.497437687103918
PFG,2023-12-26,2024-03-25,78.59595489501953,84.4800033569336,7.48645203149879
CLM,2023-12-26,2024-03-25,6.8800764083862305,7.394999980926514,7.48427113269607
ESGN,2023-12-26,2024-03-22,28.46500015258789,30.594999313354492,7.482870716137878
IVAL,2023-12-26,2024-03-25,24.99884796142578,26.864999771118164,7.464951235240639
BANC,2023-12-26,2024-03-25,13.786406517028809,14.8149995803833,7.46092219233479
EFG,2023-12-26,2024-03-25,96.45999908447266,103.65499877929688,7.459050137999028
CEFS,2023-12-26,2024-03-25,19.004562377929688,20.420000076293945,7.447883672438725
UGL,2023-12-26,2024-03-25,64.31999969482422,69.11000061035156,7.447140762211153
CHKP,2023-12-26,2024-03-25,153.63999938964844,165.0449981689453,7.423196319060446
MUA,2023-12-26,2024-03-25,10.361066818237305,11.130000114440918,7.4213718499542445
WOMN,2023-12-26,2024-03-25,33.290000915527344,35.75910186767578,7.416944680817907
ETG,2023-12-26,2024-03-25,16.87873649597168,18.1299991607666,7.413248409284376
PKW,2023-12-26,2024-03-25,99.10490417480469,106.44999694824219,7.411432193589501
BECN,2023-12-26,2024-03-25,88.68000030517578,95.23999786376953,7.3973810735439045
TKR,2023-12-26,2024-03-25,80.54238891601562,86.5,7.396864140938984
JOF,2023-12-26,2024-03-25,7.440000057220459,7.989999771118164,7.392469215963714
PMD,2023-12-26,2024-03-25,2.8399999141693115,3.0499000549316406,7.390850250209392
BBDC,2023-12-26,2024-03-25,8.459918022155762,9.085000038146973,7.3887479093080755
CRUS,2023-12-26,2024-03-25,84.55000305175781,90.78500366210938,7.374335168899719
IAE,2023-12-26,2024-03-25,5.851058006286621,6.28000020980835,7.3310195021285915
CTDD,2023-12-26,2024-03-25,9.653070449829102,10.359999656677246,7.323361105902423
OR,2023-12-26,2024-03-25,14.70509147644043,15.779999732971191,7.309769260891113
SCI,2023-12-26,2024-03-25,67.80825805664062,72.76000213623047,7.302567889966475
ORC,2023-12-26,2024-03-25,8.411212921142578,9.024999618530273,7.297243609716143
GS,2023-12-26,2024-03-25,378.9247131347656,406.57000732421875,7.295722139828078
IYH,2023-12-26,2024-03-25,56.67684555053711,60.809898376464844,7.2923127350875765
FLC,2023-12-26,2024-03-25,14.354829788208008,15.399999618530273,7.280962893623694
AVK,2023-12-26,2024-03-25,11.075142860412598,11.880999565124512,7.276264648399239
DGT,2023-12-26,2024-03-25,118.43531799316406,127.05000305175781,7.273746720628536
VT,2023-12-26,2024-03-25,102.33336639404297,109.7699966430664,7.267063042163674
CSD,2023-12-26,2024-03-25,64.73999786376953,69.44200134277344,7.262903358288941
FDT,2023-12-26,2024-03-25,51.94744873046875,55.720001220703125,7.262247872476668
NIE,2023-12-26,2024-03-25,20.61606788635254,22.11079978942871,7.250324898598423
CHSCP,2023-12-26,2024-03-25,29.810396194458008,31.969999313354492,7.244462988042984
DBGR,2023-12-26,2024-03-22,32.18000030517578,34.5099983215332,7.240515830519333
FGB,2023-12-26,2024-03-25,3.449286460876465,3.6989998817443848,7.239567478674058
AMSWA,2023-12-26,2024-03-25,10.88330078125,11.670000076293945,7.228499063439364
TWLVU,2023-12-26,2024-03-22,10.550000190734863,11.3100004196167,7.203793508452041
NBIX,2023-12-26,2024-03-25,131.19000244140625,140.63999938964844,7.203290473649367
PUTW,2023-12-26,2024-03-25,31.018938064575195,33.25,7.1925799999348214
SMHI,2023-12-26,2024-03-25,13.079999923706055,14.020000457763672,7.1865484674351565
FINX,2023-12-26,2024-03-25,25.707040786743164,27.553300857543945,7.181923762119198
EWBC,2023-12-26,2024-03-25,71.89279174804688,77.05500030517578,7.180425786246017
ETV,2023-12-26,2024-03-25,12.106072425842285,12.975000381469727,7.177620660624664
CIG,2023-12-26,2024-03-25,2.299999952316284,2.4649999141693115,7.173911533644127
CIVI,2023-12-26,2024-03-25,69.64588928222656,74.63999938964844,7.1707176961790315
IGE,2023-12-26,2024-03-25,41.3299446105957,44.290000915527344,7.1620137235141
DHI,2023-12-26,2024-03-25,150.40220642089844,161.16000366210938,7.152685786474032
LOWC,2023-12-26,2024-03-22,31.5,33.75,7.142857142857142
JGH,2023-12-26,2024-03-25,11.773173332214355,12.61359977722168,7.138486976214872
LEAD,2023-12-26,2024-03-25,60.847999572753906,65.19000244140625,7.135818595746532
CMCO,2023-12-26,2024-03-25,40.052425384521484,42.90999984741211,7.134585322752896
TURN,2023-12-26,2024-03-25,3.930000066757202,4.210000038146973,7.124681084822717
FLEU,2023-12-26,2024-03-25,24.290000915527344,26.020000457763672,7.1222703871140185
RUSHA,2023-12-26,2024-03-25,48.28355407714844,51.720001220703125,7.117220778867816
AMWD,2023-12-26,2024-03-25,93.70999908447266,100.375,7.11236899012168
DCF,2023-12-26,2024-03-25,8.048425674438477,8.620800018310547,7.111631106812746
SCHV,2023-12-26,2024-03-25,69.669189453125,74.62000274658203,7.106173234278907
EMMF,2023-12-26,2024-03-25,24.489999771118164,26.229999542236328,7.104939923969297
VYM,2023-12-26,2024-03-25,111.06733703613281,118.94999694824219,7.097189977234225
WTFC,2023-12-26,2024-03-25,93.84939575195312,100.51000213623047,7.097122289291594
WTMF,2023-12-26,2024-03-25,34.81999969482422,37.290000915527344,7.093627921743709
